"Statistic Label","Quarter","State","UNIT","VALUE"
"GDP at Constant Market Prices","1995Q1","State","Euro Million","26378"
"GDP at Constant Market Prices","1995Q2","State","Euro Million","27444"
"GDP at Constant Market Prices","1995Q3","State","Euro Million","27743"
"GDP at Constant Market Prices","1995Q4","State","Euro Million","27618"
"GDP at Constant Market Prices","1996Q1","State","Euro Million","28559"
"GDP at Constant Market Prices","1996Q2","State","Euro Million","29887"
"GDP at Constant Market Prices","1996Q3","State","Euro Million","29373"
"GDP at Constant Market Prices","1996Q4","State","Euro Million","29420"
"GDP at Constant Market Prices","1997Q1","State","Euro Million","30829"
"GDP at Constant Market Prices","1997Q2","State","Euro Million","32788"
"GDP at Constant Market Prices","1997Q3","State","Euro Million","33084"
"GDP at Constant Market Prices","1997Q4","State","Euro Million","33461"
"GDP at Constant Market Prices","1998Q1","State","Euro Million","34079"
"GDP at Constant Market Prices","1998Q2","State","Euro Million","35336"
"GDP at Constant Market Prices","1998Q3","State","Euro Million","36657"
"GDP at Constant Market Prices","1998Q4","State","Euro Million","35499"
"GDP at Constant Market Prices","1999Q1","State","Euro Million","37412"
"GDP at Constant Market Prices","1999Q2","State","Euro Million","38083"
"GDP at Constant Market Prices","1999Q3","State","Euro Million","40112"
"GDP at Constant Market Prices","1999Q4","State","Euro Million","40871"
"GDP at Constant Market Prices","2000Q1","State","Euro Million","40867"
"GDP at Constant Market Prices","2000Q2","State","Euro Million","42233"
"GDP at Constant Market Prices","2000Q3","State","Euro Million","43730"
"GDP at Constant Market Prices","2000Q4","State","Euro Million","44364"
"GDP at Constant Market Prices","2001Q1","State","Euro Million","43987"
"GDP at Constant Market Prices","2001Q2","State","Euro Million","44926"
"GDP at Constant Market Prices","2001Q3","State","Euro Million","44998"
"GDP at Constant Market Prices","2001Q4","State","Euro Million","46366"
"GDP at Constant Market Prices","2002Q1","State","Euro Million","46358"
"GDP at Constant Market Prices","2002Q2","State","Euro Million","47246"
"GDP at Constant Market Prices","2002Q3","State","Euro Million","47842"
"GDP at Constant Market Prices","2002Q4","State","Euro Million","49467"
"GDP at Constant Market Prices","2003Q1","State","Euro Million","47354"
"GDP at Constant Market Prices","2003Q2","State","Euro Million","48550"
"GDP at Constant Market Prices","2003Q3","State","Euro Million","48283"
"GDP at Constant Market Prices","2003Q4","State","Euro Million","52479"
"GDP at Constant Market Prices","2004Q1","State","Euro Million","50992"
"GDP at Constant Market Prices","2004Q2","State","Euro Million","52766"
"GDP at Constant Market Prices","2004Q3","State","Euro Million","51680"
"GDP at Constant Market Prices","2004Q4","State","Euro Million","54577"
"GDP at Constant Market Prices","2005Q1","State","Euro Million","54001"
"GDP at Constant Market Prices","2005Q2","State","Euro Million","55841"
"GDP at Constant Market Prices","2005Q3","State","Euro Million","54609"
"GDP at Constant Market Prices","2005Q4","State","Euro Million","57619"
"GDP at Constant Market Prices","2006Q1","State","Euro Million","57459"
"GDP at Constant Market Prices","2006Q2","State","Euro Million","57867"
"GDP at Constant Market Prices","2006Q3","State","Euro Million","58417"
"GDP at Constant Market Prices","2006Q4","State","Euro Million","59403"
"GDP at Constant Market Prices","2007Q1","State","Euro Million","62068"
"GDP at Constant Market Prices","2007Q2","State","Euro Million","61294"
"GDP at Constant Market Prices","2007Q3","State","Euro Million","59773"
"GDP at Constant Market Prices","2007Q4","State","Euro Million","62392"
"GDP at Constant Market Prices","2008Q1","State","Euro Million","60366"
"GDP at Constant Market Prices","2008Q2","State","Euro Million","59104"
"GDP at Constant Market Prices","2008Q3","State","Euro Million","59074"
"GDP at Constant Market Prices","2008Q4","State","Euro Million","55973"
"GDP at Constant Market Prices","2009Q1","State","Euro Million","56058"
"GDP at Constant Market Prices","2009Q2","State","Euro Million","56235"
"GDP at Constant Market Prices","2009Q3","State","Euro Million","55919"
"GDP at Constant Market Prices","2009Q4","State","Euro Million","54354"
"GDP at Constant Market Prices","2010Q1","State","Euro Million","55896"
"GDP at Constant Market Prices","2010Q2","State","Euro Million","56722"
"GDP at Constant Market Prices","2010Q3","State","Euro Million","57364"
"GDP at Constant Market Prices","2010Q4","State","Euro Million","56330"
"GDP at Constant Market Prices","2011Q1","State","Euro Million","57110"
"GDP at Constant Market Prices","2011Q2","State","Euro Million","58200"
